Algoritmo,N_Clusters,Silhouette,Calinski_Harabasz,Davies_Bouldin,Noise_Points
umap_kmeans_direct,2,0.7012233734130859,447568.96875,0.43242889489185665,0
umap_dbscan_direct,4,0.6086594462394714,187310.734375,0.3763333039684021,31
umap_gmm_direct,10,0.4017048180103302,309856.1875,0.7197028089716594,0
umap_kmeans_mca,2,0.44036099314689636,72106.9296875,1.0848815319819425,0
umap_dbscan_mca,18,0.03924054279923439,8554.7099609375,0.4737743658725827,56
umap_gmm_mca,10,0.37507274746894836,98925.4609375,0.8203215341191648,0
umap_kmeans_optimized,3,0.659123420715332,362502.9375,0.4504272900180823,0
umap_dbscan_optimized,3,0.6231086254119873,59644.08984375,0.30924844258175077,18
umap_gmm_optimized,10,0.49605828523635864,416659.875,0.7632295428512358,0
