,Conflicto armado / terrorismo,Crimen organizado / sicariato,Otros,Violencia contra población vulnerable,Violencia estructural o sociopolítica,Violencia institucional / Estado,Violencia interpersonal
Conflicto armado / terrorismo,432,165,19,3,4,6,15
Crimen organizado / sicariato,57,3595,162,12,2,15,280
Otros,31,665,323,3,0,7,221
Violencia contra población vulnerable,0,16,1,76,0,0,16
Violencia estructural o sociopolítica,0,4,0,0,1,0,0
Violencia institucional / Estado,11,13,6,0,0,20,4
Violencia interpersonal,22,290,91,18,2,9,1352
